work_id,title,slug,slug_source,automatic_slug,override_slug,report_url,otrostitulos
DESCONOCIDO_SanJuanEnSuApocalipsis(Transk-MSS),San Juan en su Apocalipsis,san-juan-en-su-apocalipsis,automatic,san-juan-en-su-apocalipsis,,https://etso.es/informes/analisis-estilometrico-san-juan-en-su-apocalipsis,
AGUILAR_SanLuisBertran,San Luis Bertrán,san-luis-bertran,automatic,san-luis-bertran,,https://etso.es/informes/analisis-estilometrico-san-luis-bertran,
GODINEZ_SanMateoEnEtiopia,San Mateo en Etiopia,san-mateo-en-etiopia,automatic,san-mateo-en-etiopia,,https://etso.es/informes/analisis-estilometrico-san-mateo-en-etiopia,
DESCONOCIDO_SanNicolasDeBari(PrimeraParte)(Transk-IMPR),"San Nicolás de Bari, obispo de Mira (primera parte)",san-nicolas-de-bari-obispo-de-mira-primera-parte,automatic,san-nicolas-de-bari-obispo-de-mira-primera-parte,,https://etso.es/informes/analisis-estilometrico-san-nicolas-de-bari-obispo-de-mira-primera-parte,
DESCONOCIDO_SanNicolasDeBari(SegundaParte)(Transk-IMPR),"San Nicolás de Bari, obispo de Mira (segunda parte)",san-nicolas-de-bari-obispo-de-mira-segunda-parte,automatic,san-nicolas-de-bari-obispo-de-mira-segunda-parte,,https://etso.es/informes/analisis-estilometrico-san-nicolas-de-bari-obispo-de-mira-segunda-parte,
LOPE_SanNicolasDeTolentino(Transk-IMPR),San Nicolás de Tolentino,san-nicolas-de-tolentino,automatic,san-nicolas-de-tolentino,,https://etso.es/informes/analisis-estilometrico-san-nicolas-de-tolentino,
HOMEDES_SanPascualBailon(Transk-MSS),San Pascual Bailón,san-pascual-bailon,automatic,san-pascual-bailon,,https://etso.es/informes/analisis-estilometrico-san-pascual-bailon,
TORRE-SEVILdudosa_SanPedroDeArbues(Transk-IMPR),San Pedro de Arbués,san-pedro-de-arbues,automatic,san-pedro-de-arbues,,https://etso.es/informes/analisis-estilometrico-san-pedro-de-arbues,
DESCONOCIDO_SanRamonNonato(Transk-MSS),San Ramón Nonato,san-ramon-nonato,automatic,san-ramon-nonato,,https://etso.es/informes/analisis-estilometrico-san-ramon-nonato,
DESCONOCIDO_SanRoque(Auto)(Transk-MSS),San Roque,san-roque,automatic,san-roque,,https://etso.es/informes/analisis-estilometrico-san-roque,
LOPE_SanSegundo,San Segundo,san-segundo,automatic,san-segundo,,https://etso.es/informes/analisis-estilometrico-san-segundo,
BELMONTE_SanchaLaBermeja(Transk-IMPR),Sancha la Bermeja,sancha-la-bermeja,automatic,sancha-la-bermeja,,https://etso.es/informes/analisis-estilometrico-sancha-la-bermeja,
TARREGA_SangreLeal,"Sangre leal de los montañeses de Navarra, La",la-sangre-leal-de-los-montaneses-de-navarra,automatic,la-sangre-leal-de-los-montaneses-de-navarra,,https://etso.es/informes/analisis-estilometrico-la-sangre-leal-de-los-montaneses-de-navarra,
